START TIME	STATE	SOURCE	CAPACITY REMAINING
2025-10-2109:41:38	Connected standby	Battery	33 %	21,344 mWh
09:42:12	Active	Battery	33 %	21,344 mWh
09:42:13	Active	AC	33 %	21,344 mWh
11:56:19	Active	Battery	100 %	64,680 mWh
12:06:22	Active	AC	99 %	64,033 mWh
12:06:26	Active	Battery	99 %	64,033 mWh
12:06:40	Active	AC	98 %	63,386 mWh
12:21:19	Active	Battery	98 %	63,386 mWh
12:22:58	Active	AC	98 %	63,386 mWh
12:22:59	Active	Battery	98 %	63,386 mWh
12:23:39	Active	AC	98 %	63,386 mWh
12:23:40	Active	Battery	98 %	63,386 mWh
12:23:43	Active	AC	98 %	63,386 mWh
12:23:44	Connected standby	AC	98 %	63,386 mWh
12:23:44	Suspended		98 %	63,386 mWh
20:22:55	Connected standby	Battery	97 %	62,740 mWh
20:23:30	Active	Battery	96 %	62,093 mWh
23:08:49	Connected standby	Battery	52 %	33,634 mWh
23:08:49	Suspended		52 %	33,634 mWh
2025-10-2209:52:13	Active	AC	78 %	50,450 mWh
11:28:11	Connected standby	AC	100 %	64,680 mWh
11:39:24	Active	AC	100 %	64,680 mWh
14:45:02	Active	Battery	100 %	64,680 mWh
14:45:04	Connected standby	Battery	100 %	64,680 mWh
14:45:04	Suspended		100 %	64,680 mWh
20:56:16	Connected standby	Battery	99 %	64,033 mWh
20:56:51	Active	Battery	99 %	64,033 mWh
22:30:29	Connected standby	Battery	77 %	49,804 mWh
22:30:29	Suspended		77 %	49,804 mWh
2025-10-2312:06:16	Connected standby	AC	85 %	54,978 mWh
12:06:51	Active	AC	85 %	54,978 mWh
15:19:17	Connected standby	AC	100 %	64,680 mWh
15:19:17	Suspended		100 %	64,680 mWh
21:05:36	Connected standby	Battery	99 %	64,033 mWh
21:06:12	Active	Battery	99 %	64,033 mWh
23:54:06	Connected standby	Battery	65 %	42,042 mWh
23:54:06	Suspended		65 %	42,042 mWh
2025-10-2409:33:20	Connected standby	Battery	64 %	41,395 mWh
09:33:54	Active	Battery	64 %	41,395 mWh
09:49:20	Active	AC	59 %	38,161 mWh
14:06:05	Connected standby	AC	100 %	64,680 mWh
14:06:05	Suspended		100 %	64,680 mWh
20:48:13	Connected standby	AC	99 %	64,033 mWh
20:48:48	Connected standby	Battery	99 %	64,033 mWh
20:48:48	Active	Battery	99 %	64,033 mWh
20:49:03	Connected standby	Battery	99 %	64,033 mWh
20:49:12	Active	Battery	99 %	64,033 mWh
21:44:29	Connected standby	Battery	88 %	56,918 mWh
2025-10-2504:30:53	Suspended		83 %	53,684 mWh
20:58:41	Active	Battery	82 %	53,038 mWh
22:20:21	Connected standby	Battery	67 %	43,336 mWh
2025-10-2603:42:10	Suspended		63 %	40,748 mWh
21:41:24	Connected standby	Battery	62 %	40,102 mWh
21:41:57	Suspended		62 %	40,102 mWh
21:42:32	Connected standby	Battery	61 %	39,455 mWh
21:43:07	Active	Battery	61 %	39,455 mWh
23:20:09	Connected standby	Battery	43 %	27,812 mWh
23:20:09	Suspended		43 %	27,812 mWh
2025-10-2709:47:04	Connected standby	Battery	42 %	27,166 mWh
09:47:39	Active	Battery	42 %	27,166 mWh
09:47:39	Active	AC	42 %	27,166 mWh
12:33:46	Connected standby	AC	100 %	64,680 mWh
14:14:40	Active	AC	100 %	64,680 mWh
15:13:28	Connected standby	AC	100 %	64,680 mWh
15:13:28	Suspended		100 %	64,680 mWh
21:36:50	Connected standby	Battery	99 %	64,033 mWh
21:37:24	Active	Battery	98 %	63,386 mWh
21:37:26	Connected standby	Battery	98 %	63,386 mWh
21:47:25	Active	Battery	97 %	62,740 mWh
22:06:24	Report generated	Battery	93 %	60,152 mWh
